"CODE"	"lfd"	"trial"	"Upn"	"treat"	"ansshort"	"anslong"	"subjsicher"	"lfd"	"trial"	"Upn"	"solution"	"differ"
"62"	"VA110"	62	2	4	"C"	1	"Herz"	30	62	2	4	"Karo"	"FALSCH"
"63"	"VA110"	63	3	4	"C"	1	"Herz"	70	63	3	4	"Pik"	"FALSCH"
"64"	"VA110"	64	4	4	"C"	3	"Kreuz"	20	64	4	4	"Karo"	"FALSCH"
"65"	"VA110"	65	5	4	"C"	4	"Pik"	80	65	5	4	"Karo"	"FALSCH"
"66"	"VA110"	66	6	4	"C"	3	"Kreuz"	40	66	6	4	"Herz"	"FALSCH"
"67"	"VA110"	67	7	4	"C"	1	"Herz"	90	67	7	4	"Pik"	"FALSCH"
"68"	"VA110"	68	8	4	"C"	4	"Pik"	20	68	8	4	"Herz"	"FALSCH"
"69"	"VA110"	69	9	4	"C"	2	"Karo"	10	69	9	4	"Karo"	"WAHR"
"70"	"VA110"	70	10	4	"C"	1	"Herz"	40	70	10	4	"Herz"	"WAHR"
"71"	"VA110"	71	11	4	"C"	1	"Herz"	40	71	11	4	"Karo"	"FALSCH"
"72"	"VA110"	72	12	4	"C"	4	"Pik"	20	72	12	4	"Kreuz"	"FALSCH"
"73"	"VA110"	73	13	4	"C"	3	"Kreuz"	10	73	13	4	"Karo"	"FALSCH"
"74"	"VA110"	74	14	4	"C"	2	"Karo"	40	74	14	4	"Kreuz"	"FALSCH"
"75"	"VA110"	75	15	4	"C"	2	"Karo"	90	75	15	4	"Karo"	"WAHR"
"76"	"VA110"	76	16	4	"C"	3	"Kreuz"	10	76	16	4	"Herz"	"FALSCH"
"77"	"VA110"	77	17	4	"C"	3	"Kreuz"	40	77	17	4	"Pik"	"FALSCH"
"78"	"VA110"	78	18	4	"C"	4	"Pik"	60	78	18	4	"Karo"	"FALSCH"
"79"	"VA110"	79	19	4	"C"	1	"Herz"	20	79	19	4	"Pik"	"FALSCH"
"80"	"VA110"	80	20	4	"C"	1	"Herz"	90	80	20	4	"Herz"	"WAHR"
"81"	"BA47"	81	1	5	"T"	4	"Pik"	60	81	1	5	"Kreuz"	"FALSCH"
"82"	"BA47"	82	2	5	"T"	2	"Karo"	40	82	2	5	"Pik"	"FALSCH"
"83"	"BA47"	83	3	5	"T"	1	"Herz"	30	83	3	5	"Karo"	"FALSCH"
"84"	"BA47"	84	4	5	"T"	4	"Pik"	50	84	4	5	"Herz"	"FALSCH"
"85"	"BA47"	85	5	5	"T"	3	"Kreuz"	40	85	5	5	"Karo"	"FALSCH"
"86"	"BA47"	86	6	5	"T"	2	"Karo"	20	86	6	5	"Kreuz"	"FALSCH"
"87"	"BA47"	87	7	5	"T"	1	"Herz"	40	87	7	5	"Pik"	"FALSCH"
"88"	"BA47"	88	8	5	"T"	4	"Pik"	60	88	8	5	"Pik"	"WAHR"
"89"	"BA47"	89	9	5	"T"	3	"Kreuz"	70	89	9	5	"Karo"	"FALSCH"
"90"	"BA47"	90	10	5	"T"	1	"Herz"	60	90	10	5	"Kreuz"	"FALSCH"
"91"	"BA47"	91	11	5	"T"	2	"Karo"	30	91	11	5	"Karo"	"WAHR"
"92"	"BA47"	92	12	5	"T"	1	"Herz"	40	92	12	5	"Kreuz"	"FALSCH"
"93"	"BA47"	93	13	5	"T"	4	"Pik"	50	93	13	5	"Karo"	"FALSCH"
"94"	"BA47"	94	14	5	"T"	3	"Kreuz"	60	94	14	5	"Karo"	"FALSCH"
"95"	"BA47"	95	15	5	"T"	3	"Kreuz"	40	95	15	5	"Karo"	"FALSCH"
"96"	"BA47"	96	16	5	"T"	4	"Pik"	50	96	16	5	"Herz"	"FALSCH"
"97"	"BA47"	97	17	5	"T"	1	"Herz"	40	97	17	5	"Pik"	"FALSCH"
"98"	"BA47"	98	18	5	"T"	2	"Karo"	60	98	18	5	"Karo"	"WAHR"
"99"	"BA47"	99	19	5	"T"	4	"Pik"	40	99	19	5	"Pik"	"WAHR"
"100"	"BA47"	100	20	5	"T"	1	"Herz"	60	100	20	5	"Herz"	"WAHR"
"101"	"SA96"	101	1	6	"T"	1	"Herz"	60	101	1	6	"Karo"	"FALSCH"
"102"	"SA96"	102	2	6	"T"	3	"Kreuz"	50	102	2	6	"Herz"	"FALSCH"
"103"	"SA96"	103	3	6	"T"	4	"Pik"	40	103	3	6	"Pik"	"WAHR"
"104"	"SA96"	104	4	6	"T"	1	"Herz"	50	104	4	6	"Karo"	"FALSCH"
"105"	"SA96"	105	5	6	"T"	1	"Herz"	70	105	5	6	"Karo"	"FALSCH"
"106"	"SA96"	106	6	6	"T"	3	"Kreuz"	50	106	6	6	"Pik"	"FALSCH"
"107"	"SA96"	107	7	6	"T"	2	"Karo"	30	107	7	6	"Karo"	"WAHR"
"108"	"SA96"	108	8	6	"T"	2	"Karo"	40	108	8	6	"Karo"	"WAHR"
"109"	"SA96"	109	9	6	"T"	3	"Kreuz"	60	109	9	6	"Pik"	"FALSCH"
"110"	"SA96"	110	10	6	"T"	3	"Kreuz"	80	110	10	6	"Karo"	"FALSCH"
"111"	"SA96"	111	11	6	"T"	1	"Herz"	30	111	11	6	"Herz"	"WAHR"
"112"	"SA96"	112	12	6	"T"	4	"Pik"	40	112	12	6	"Karo"	"FALSCH"
"113"	"SA96"	113	13	6	"T"	1	"Herz"	40	113	13	6	"Kreuz"	"FALSCH"
"114"	"SA96"	114	14	6	"T"	2	"Karo"	50	114	14	6	"Karo"	"WAHR"
"115"	"SA96"	115	15	6	"T"	3	"Kreuz"	50	115	15	6	"Karo"	"FALSCH"
"116"	"SA96"	116	16	6	"T"	1	"Herz"	70	116	16	6	"Kreuz"	"FALSCH"
"117"	"SA96"	117	17	6	"T"	3	"Kreuz"	40	117	17	6	"Kreuz"	"WAHR"
"118"	"SA96"	118	18	6	"T"	3	"Kreuz"	60	118	18	6	"Pik"	"FALSCH"
"119"	"SA96"	119	19	6	"T"	3	"Kreuz"	40	119	19	6	"Karo"	"FALSCH"
"120"	"SA96"	120	20	6	"T"	1	"Herz"	30	120	20	6	"Kreuz"	"FALSCH"
"121"	"CA33"	121	1	7	"T"	1	"Herz"	50	121	1	7	"Herz"	"WAHR"
"122"	"CA33"	122	2	7	"T"	3	"Kreuz"	30	122	2	7	"Kreuz"	"WAHR"
"123"	"CA33"	123	3	7	"T"	2	"Karo"	40	123	3	7	"Kreuz"	"FALSCH"
"124"	"CA33"	124	4	7	"T"	4	"Pik"	60	124	4	7	"Kreuz"	"FALSCH"
"125"	"CA33"	125	5	7	"T"	1	"Herz"	50	125	5	7	"Pik"	"FALSCH"
"126"	"CA33"	126	6	7	"T"	1	"Herz"	40	126	6	7	"Pik"	"FALSCH"
"127"	"CA33"	127	7	7	"T"	4	"Pik"	30	127	7	7	"Pik"	"WAHR"
"128"	"CA33"	128	8	7	"T"	2	"Karo"	20	128	8	7	"Herz"	"FALSCH"
"129"	"CA33"	129	9	7	"T"	4	"Pik"	10	129	9	7	"Pik"	"WAHR"
"130"	"CA33"	130	10	7	"T"	1	"Herz"	30	130	10	7	"Pik"	"FALSCH"
"131"	"CA33"	131	11	7	"T"	2	"Karo"	30	131	11	7	"Kreuz"	"FALSCH"
