"ID"	"W.noSC"	"uW.noSC"	"cc.noSC"	"age"	"sex"	"class"	"schoolt"	"schooltype"	"W.wSC"	"uW.wSC"	"cc.wSC"	"Schultyp"	"school"	"stype"
"60"	60	138	83	1.63	15	"m"	9	"1"	"R"	123	82	NA	"1"	"Realschule"	"R"
"61"	61	189	118	1.19	15	"m"	9	"1"	"R"	173	117	NA	"1"	"Realschule"	"R"
"62"	62	238	121	0.95	15	"w"	9	"1"	"R"	221	120	NA	"1"	"Realschule"	"R"
"63"	63	226	109	1	15	"w"	9	"1"	"R"	209	108	NA	"1"	"Realschule"	"R"
"64"	64	275	133	0.82	14	"w"	9	"1"	"R"	251	132	NA	"1"	"Realschule"	"R"
"65"	65	247	138	0.91	15	"w"	9	"1"	"R"	229	137	NA	"1"	"Realschule"	"R"
"66"	66	166	95	1.36	14	"w"	9	"1"	"R"	151	94	NA	"1"	"Realschule"	"R"
"67"	67	174	119	1.29	15	"m"	9	"1"	"R"	160	118	NA	"1"	"Realschule"	"R"
"68"	68	134	88	1.68	15	"m"	9	"1"	"R"	123	87	NA	"1"	"Realschule"	"R"
"69"	69	112	75	2.01	15	"m"	9	"1"	"R"	99	74	NA	"1"	"Realschule"	"R"
"70"	70	256	134	0.88	15	"m"	9	"1"	"R"	237	133	NA	"1"	"Realschule"	"R"
"71"	71	155	80	1.45	16	"m"	9	"1"	"R"	135	79	NA	"1"	"Realschule"	"R"
"72"	72	170	105	1.32	14	"m"	9	"1"	"R"	156	104	NA	"1"	"Realschule"	"R"
"73"	73	237	132	0.95	14	"m"	9	"1"	"R"	220	131	NA	"1"	"Realschule"	"R"
"74"	74	103	67	2.19	15	"w"	9	"1"	"R"	84	66	NA	"1"	"Realschule"	"R"
"75"	75	123	78	1.83	15	"m"	9	"1"	"R"	112	77	NA	"1"	"Realschule"	"R"
"76"	76	109	63	2.07	15	"m"	9	"1"	"R"	97	62	NA	"1"	"Realschule"	"R"
"77"	77	76	51	2.96	14	"m"	9	"1"	"R"	66	50	NA	"1"	"Realschule"	"R"
"78"	78	145	87	1.55	15	"m"	9	"1"	"R"	127	86	NA	"1"	"Realschule"	"R"
"79"	79	219	137	1.03	14	"w"	9	"1"	"R"	203	136	NA	"1"	"Realschule"	"R"
"80"	80	137	93	1.64	15	"w"	9	"1"	"R"	123	92	NA	"1"	"Realschule"	"R"
"81"	81	141	85	1.6	15	"w"	9	"1"	"R"	126	84	NA	"1"	"Realschule"	"R"
"82"	82	174	97	1.29	16	"w"	9	"1"	"R"	160	96	NA	"1"	"Realschule"	"R"
"83"	83	170	102	1.32	16	"w"	9	"1"	"R"	153	101	NA	"1"	"Realschule"	"R"
"84"	84	269	146	0.84	15	"w"	9	"1"	"R"	248	145	NA	"1"	"Realschule"	"R"
"85"	85	284	175	0.79	15	"w"	9	"1"	"R"	266	174	NA	"1"	"Realschule"	"R"
"86"	86	66	43	3.41	15	"m"	9	"1"	"R"	52	42	NA	"1"	"Realschule"	"R"
"87"	87	232	111	0.97	15	"w"	9	"1"	"R"	212	110	NA	"1"	"Realschule"	"R"
"88"	88	138	86	1.63	14	"m"	9	"1"	"R"	123	85	NA	"1"	"Realschule"	"R"
"89"	89	178	96	1.26	15	"m"	9	"1"	"R"	163	95	NA	"1"	"Realschule"	"R"
"90"	90	99	65	2.27	16	"m"	9	"1"	"R"	87	64	NA	"1"	"Realschule"	"R"
"91"	91	98	58	2.3	15	"m"	9	"1"	"R"	85	57	NA	"1"	"Realschule"	"R"
"92"	92	109	70	2.07	17	"m"	9	"1"	"R"	97	69	NA	"1"	"Realschule"	"R"
"93"	93	245	135	0.92	14	"w"	9	"1"	"R"	213	134	NA	"1"	"Realschule"	"R"
