"ID"	"W.noSC"	"uW.noSC"	"cc.noSC"	"age"	"sex"	"class"	"schoolt"	"schooltype"	"W.wSC"	"uW.wSC"	"cc.wSC"	"Schultyp"	"school"	"stype"
"257"	257	199	116	1.13	16	"w"	10	"1"	"R"	177	115	NA	"1"	"Realschule"	"R"
"258"	258	159	95	1.42	15	"w"	10	"1"	"R"	141	94	NA	"1"	"Realschule"	"R"
"259"	259	117	69	1.92	16	"w"	10	"1"	"R"	102	68	NA	"1"	"Realschule"	"R"
"260"	260	101	60	2.23	16	"w"	10	"1"	"R"	86	59	NA	"1"	"Realschule"	"R"
"261"	261	163	98	1.38	15	"m"	10	"1"	"R"	144	95	NA	"1"	"Realschule"	"R"
"262"	262	221	124	1.02	15	"w"	10	"1"	"R"	198	123	NA	"1"	"Realschule"	"R"
"263"	263	253	138	0.89	15	"w"	10	"1"	"R"	230	137	NA	"1"	"Realschule"	"R"
"264"	264	460	211	0.49	16	"w"	10	"1"	"R"	414	210	NA	"1"	"Realschule"	"R"
"265"	265	139	82	1.62	16	"w"	10	"1"	"R"	123	81	NA	"1"	"Realschule"	"R"
"266"	266	61	33	3.69	18	"m"	12	"2P"	"G"	52	32	NA	"2P"	"Gymnasium"	"G"
"267"	267	198	123	1.14	17	"m"	12	"2P"	"G"	184	122	NA	"2P"	"Gymnasium"	"G"
"268"	268	285	162	0.79	17	"m"	12	"2P"	"G"	260	161	NA	"2P"	"Gymnasium"	"G"
"269"	269	607	268	0.37	18	"m"	12	"2P"	"G"	556	267	NA	"2P"	"Gymnasium"	"G"
"270"	270	865	375	0.26	18	"m"	12	"2P"	"G"	793	374	NA	"2P"	"Gymnasium"	"G"
"271"	271	231	145	0.97	19	"m"	12	"2P"	"G"	210	142	NA	"2P"	"Gymnasium"	"G"
"272"	272	111	66	2.03	18	"m"	12	"2P"	"G"	96	65	NA	"2P"	"Gymnasium"	"G"
"273"	273	244	136	0.92	18	"m"	12	"2P"	"G"	218	135	NA	"2P"	"Gymnasium"	"G"
"274"	274	528	233	0.43	18	"m"	11	"3"	"R"	487	232	NA	"3"	"Berufskolleg"	"B"
"275"	275	311	153	0.72	17	"m"	11	"3"	"R"	284	152	NA	"3"	"Berufskolleg"	"B"
"276"	276	232	126	0.97	20	"m"	11	"3"	"R"	209	125	NA	"3"	"Berufskolleg"	"B"
"277"	277	253	154	0.89	17	"m"	11	"3"	"R"	229	153	NA	"3"	"Berufskolleg"	"B"
"278"	278	170	100	1.32	17	"m"	11	"1"	"R"	152	99	NA	"1"	"Berufskolleg"	"B"
"279"	279	315	170	0.71	19	"m"	11	"3"	"R"	295	169	NA	"3"	"Berufskolleg"	"B"
"280"	280	134	82	1.68	17	"m"	11	"3"	"R"	120	81	NA	"3"	"Berufskolleg"	"B"
"281"	281	205	114	1.1	16	"m"	11	"3"	"R"	189	113	NA	"3"	"Berufskolleg"	"B"
"282"	282	323	151	0.7	17	"m"	11	"3"	"R"	293	150	NA	"3"	"Berufskolleg"	"B"
"283"	283	451	229	0.5	19	"m"	11	"3"	"R"	410	227	NA	"3"	"Berufskolleg"	"B"
"284"	284	165	100	1.36	20	"m"	11	"3"	"R"	147	99	NA	"3"	"Berufskolleg"	"B"
"285"	285	125	72	1.8	18	"m"	11	"3"	"R"	109	71	NA	"3"	"Berufskolleg"	"B"
"286"	286	223	128	1.01	19	"m"	11	"3"	"R"	207	127	NA	"3"	"Berufskolleg"	"B"
"287"	287	360	156	0.63	16	"w"	11	"3"	"R"	323	155	NA	"3"	"Berufskolleg"	"B"
"288"	288	84	55	2.68	16	"m"	11	"3"	"R"	69	54	NA	"3"	"Berufskolleg"	"B"
"289"	289	248	133	0.91	18	"m"	11	"3"	"R"	221	132	NA	"3"	"Berufskolleg"	"B"
"290"	290	336	167	0.67	17	"m"	11	"3"	"R"	316	165	NA	"3"	"Berufskolleg"	"B"
"291"	291	89	60	2.53	18	"m"	11	"3"	"R"	79	59	NA	"3"	"Berufskolleg"	"B"
"292"	292	136	89	1.66	17	"m"	11	"3"	"R"	116	88	NA	"3"	"Berufskolleg"	"B"
"293"	293	163	103	1.38	22	"m"	11	"1"	"R"	144	101	NA	"1"	"Berufskolleg"	"B"
"294"	294	49	18	4.59	24	"m"	10	"4"	"R"	37	17	NA	"4"	"Berufskolleg"	"B"
"295"	295	143	92	1.57	24	"m"	10	"4"	"R"	128	91	NA	"4"	"Berufskolleg"	"B"
"296"	296	199	112	1.13	22	"w"	10	"4"	"R"	179	111	NA	"4"	"Berufskolleg"	"B"
"297"	297	109	74	2.07	21	"m"	10	"4"	"R"	96	73	NA	"4"	"Berufskolleg"	"B"
"298"	298	244	153	0.92	22	"m"	10	"4"	"R"	225	152	NA	"4"	"Berufskolleg"	"B"
"299"	299	116	76	1.94	25	"m"	10	"4"	"R"	103	75	NA	"4"	"Berufskolleg"	"B"
"300"	300	170	105	1.32	19	"m"	12	"5"	"R"	153	104	NA	"5"	"Berufskolleg"	"B"
"301"	301	105	69	2.14	25	"m"	12	"5"	"R"	94	68	NA	"5"	"Berufskolleg"	"B"
"302"	302	125	71	1.8	18	"m"	12	"5"	"R"	113	70	NA	"5"	"Berufskolleg"	"B"
"303"	303	125	88	1.8	19	"m"	12	"1"	"R"	108	87	NA	"1"	"Realschule"	"R"
"304"	304	213	125	1.06	18	"m"	12	"5"	"R"	193	124	NA	"5"	"Berufskolleg"	"B"
"305"	305	123	79	1.83	18	"m"	12	"5"	"R"	108	78	NA	"5"	"Berufskolleg"	"B"
"306"	306	90	60	2.5	NA	"m"	12	"5"	"R"	75	59	NA	"5"	"Berufskolleg"	"B"
"307"	307	101	72	2.23	20	"m"	12	"5"	"R"	87	70	NA	"5"	"Berufskolleg"	"B"
"308"	308	241	157	0.93	20	"m"	12	"5"	"R"	223	156	NA	"5"	"Berufskolleg"	"B"
"309"	309	71	38	3.17	21	"m"	12	"5"	"R"	62	37	NA	"5"	"Berufskolleg"	"B"
"310"	310	176	112	1.28	17	"m"	12	"5"	"R"	162	111	NA	"5"	"Berufskolleg"	"B"
"311"	311	136	88	1.66	NA	"w"	12	"1"	"R"	123	87	NA	"1"	"Realschule"	"R"
"312"	312	209	119	1.08	18	"m"	12	"1"	"R"	188	118	NA	"1"	"Realschule"	"R"
"313"	313	107	67	2.1	19	"m"	12	"1"	"R"	94	66	NA	"1"	"Realschule"	"R"
"314"	314	42	10	5.36	18	"m"	12	"1"	"R"	33	9	NA	"1"	"Realschule"	"R"
"315"	315	110	69	2.05	19	"m"	12	"5"	"R"	99	68	NA	"5"	"Berufskolleg"	"B"
"316"	316	169	106	1.33	19	"m"	12	"5"	"R"	156	105	NA	"5"	"Berufskolleg"	"B"
"317"	317	155	98	1.45	19	"m"	12	"5"	"R"	139	97	NA	"5"	"Berufskolleg"	"B"
"318"	318	132	77	1.71	18	"m"	12	"1"	"R"	117	76	NA	"1"	"Realschule"	"R"
"319"	319	133	82	1.69	18	"w"	12	"1"	"R"	121	81	NA	"1"	"Realschule"	"R"
"320"	320	85	55	2.65	17	"w"	12	"5"	"R"	73	54	NA	"5"	"Berufskolleg"	"B"
"321"	321	78	49	2.89	17	"m"	12	"5"	"R"	67	48	NA	"5"	"Berufskolleg"	"B"
"322"	322	126	83	1.79	18	"m"	12	"5"	"R"	112	82	NA	"5"	"Berufskolleg"	"B"
"323"	323	141	83	1.6	18	"m"	12	"1"	"R"	129	82	NA	"1"	"Realschule"	"R"
"324"	324	90	66	2.5	19	"m"	12	"5"	"R"	80	65	NA	"5"	"Berufskolleg"	"B"
"325"	325	914	408	0.25	18	"w"	13	"2U"	"G"	830	407	NA	"2U"	"Gymnasium"	"G"
"326"	326	362	197	0.62	18	"w"	13	"2U"	"G"	332	196	NA	"2U"	"Gymnasium"	"G"
"327"	327	635	308	0.35	18	"m"	12	"2U"	"G"	585	307	NA	"2U"	"Gymnasium"	"G"
"328"	328	682	329	0.33	18	"w"	12	"2U"	"G"	631	328	NA	"2U"	"Gymnasium"	"G"
"329"	329	515	234	0.44	19	"w"	13	"2U"	"G"	470	233	NA	"2U"	"Gymnasium"	"G"
"330"	330	405	202	0.56	18	"m"	12	"2U"	"G"	372	201	NA	"2U"	"Gymnasium"	"G"
"331"	331	722	311	0.31	18	"w"	12	"2U"	"G"	658	310	NA	"2U"	"Gymnasium"	"G"
"332"	332	535	214	0.42	18	"w"	12	"2U"	"G"	489	213	NA	"2U"	"Gymnasium"	"G"
"333"	333	495	216	0.45	17	"w"	12	"2U"	"G"	459	215	NA	"2U"	"Gymnasium"	"G"
"334"	334	361	192	0.62	19	"w"	12	"2U"	"G"	333	191	NA	"2U"	"Gymnasium"	"G"
"335"	335	435	242	0.52	18	"w"	12	"2U"	"G"	398	241	NA	"2U"	"Gymnasium"	"G"
"336"	336	461	250	0.49	19	"m"	12	"2U"	"G"	420	249	NA	"2U"	"Gymnasium"	"G"
"337"	337	419	204	0.54	18	"w"	12	"2U"	"G"	375	202	NA	"2U"	"Gymnasium"	"G"
"338"	338	390	199	0.58	17	"w"	12	"2U"	"G"	359	198	NA	"2U"	"Gymnasium"	"G"
"339"	339	453	231	0.5	18	"w"	12	"2U"	"G"	415	230	NA	"2U"	"Gymnasium"	"G"
"340"	340	397	202	0.57	18	"w"	12	"2U"	"G"	359	201	NA	"2U"	"Gymnasium"	"G"
"341"	341	441	225	0.51	18	"w"	12	"2U"	"G"	408	224	NA	"2U"	"Gymnasium"	"G"
"342"	342	410	206	0.55	17	"w"	12	"2U"	"G"	372	205	NA	"2U"	"Gymnasium"	"G"
"343"	343	405	201	0.56	18	"w"	12	"1"	"R"	374	200	NA	"1"	"Realschule"	"R"
"344"	344	381	192	0.59	19	"m"	12	"2U"	"G"	355	191	NA	"2U"	"Gymnasium"	"G"
"345"	345	359	206	0.63	18	"m"	12	"2R"	"G"	321	205	NA	"2R"	"Gymnasium"	"G"
"346"	346	356	176	0.63	18	"w"	12	"2R"	"G"	329	175	NA	"2R"	"Gymnasium"	"G"
"347"	347	342	162	0.66	18	"w"	12	"2R"	"G"	312	161	NA	"2R"	"Gymnasium"	"G"
"348"	348	421	225	0.53	17	"w"	12	"2R"	"G"	363	224	NA	"2R"	"Gymnasium"	"G"
"349"	349	338	178	0.67	19	"w"	12	"2R"	"G"	300	177	NA	"2R"	"Gymnasium"	"G"
"350"	350	397	202	0.57	18	"w"	12	"2R"	"G"	370	201	NA	"2R"	"Gymnasium"	"G"
"351"	351	369	183	0.61	18	"w"	12	"2U"	"G"	334	182	NA	"2U"	"Gymnasium"	"G"
"352"	352	288	152	0.78	18	"w"	12	"2U"	"G"	254	151	NA	"2U"	"Gymnasium"	"G"
"353"	353	702	269	0.32	19	"w"	12	"2U"	"G"	641	268	NA	"2U"	"Gymnasium"	"G"
"354"	354	485	254	0.46	17	"w"	12	"2U"	"G"	447	253	NA	"2U"	"Gymnasium"	"G"
"355"	355	335	173	0.67	18	"w"	12	"2U"	"G"	306	172	NA	"2U"	"Gymnasium"	"G"
"356"	356	592	298	0.38	18	"w"	12	"2U"	"G"	523	297	NA	"2U"	"Gymnasium"	"G"
"357"	357	286	176	0.79	18	"m"	12	"2U"	"G"	253	175	NA	"2U"	"Gymnasium"	"G"
"358"	358	178	111	1.26	18	"m"	12	"2U"	"G"	151	110	NA	"2U"	"Gymnasium"	"G"
"359"	359	135	81	1.67	18	"m"	12	"2U"	"G"	123	80	NA	"2U"	"Gymnasium"	"G"
"360"	360	98	65	2.3	18	"m"	12	"2U"	"G"	82	64	NA	"2U"	"Gymnasium"	"G"
"361"	361	293	159	0.77	18	"w"	12	"2U"	"G"	261	158	NA	"2U"	"Gymnasium"	"G"
"362"	362	273	151	0.82	18	"w"	12	"2U"	"G"	251	150	NA	"2U"	"Gymnasium"	"G"
"363"	363	203	117	1.11	18	"m"	12	"2U"	"G"	169	116	NA	"2U"	"Gymnasium"	"G"
