"prob"	"prior"	"likelihood"	"post"
"1"	0.69	0.309999984975699	6.3764138474464e-10	6.3764138474464e-10
"2"	0.69	0.999999984975699	0.122019982261623	0.122019982261623
"3"	0.95	0.0499999938132362	7.04912753244586e-10	7.04912753244586e-10
"4"	0.95	0.999999993813236	0.283128845669746	0.283128845669746
"5"	0.99	0.00999999478556585	5.95938391536062e-10	5.95938391536062e-10
"6"	0.99	0.999999994785566	0.400515785406635	0.400515785406635
"7"	0.69	6.3764138474464e-10	0.0394830919973603	0.0288245695529827
"8"	0.69	0.122019982261623	0.158643145206262	0.119603519199393
"9"	0.95	7.04912753244586e-10	0.015023925359239	0.0107855162391776
"10"	0.95	0.283128845669746	0.244966254970566	0.187663241706159
"11"	0.99	5.95938391536062e-10	0.00685783864175782	0.00486177870601281
"12"	0.99	0.400515785406635	0.30893668257681	0.239366868854024
"13"	0.69	0.0288245695529827	0.285999681744089	0.185675736555569
"14"	0.69	0.119603519199393	0.432772705425851	0.285001271455564
"15"	0.95	0.0107855162391776	0.225826513558135	0.146800981539117
"16"	0.95	0.187663241706159	0.504856557828998	0.337084857354842
"17"	0.99	0.00486177870601281	0.190426742304195	0.12425825380514
"18"	0.99	0.239366868854024	0.551634860450705	0.37244335823435
"19"	0.69	0.185675736555569	0.382525309716596	0.26081151560093
"20"	0.69	0.285001271455564	0.556244765481345	0.351226911622603
"21"	0.95	0.146800981539117	0.306809190066442	0.222659451629517
"22"	0.95	0.337084857354842	0.635306785773549	0.396160815257007
"23"	0.99	0.12425825380514	0.261118142606206	0.199395684016508
"24"	0.99	0.37244335823435	0.684158239591412	0.426055828426412
"25"	0.69	0.26081151560093	0.480237145608843	0.317276486800737
"26"	0.69	0.351226911622603	0.669806551577511	0.40174262691376
"27"	0.95	0.222659451629517	0.391573861367589	0.280364789962334
"28"	0.95	0.396160815257007	0.748529442449442	0.442606009069415
"29"	0.99	0.199395684016508	0.336497007559263	0.257348723916624
"30"	0.99	0.426055828426412	0.794323677246444	0.469499078352768
"31"	0.69	0.317276486800737	0.458930851301422	0.359674386276835
"32"	0.69	0.40174262691376	0.625183438833001	0.43634512749062
"33"	0.95	0.280364789962334	0.382484369126984	0.325439430308508
"34"	0.95	0.442606009069415	0.697402901918189	0.472851776100032
"35"	0.99	0.257348723916624	0.33482533564402	0.303789975607651
"36"	0.99	0.469499078352768	0.741052440282668	0.496736145959025
"37"	0.69	0.359674386276835	0.445731766334692	0.386900865944926
"38"	0.69	0.43634512749062	0.60599145654021	0.456760130453544
"39"	0.95	0.325439430308508	0.372663640756213	0.355333556355955
"40"	0.95	0.472851776100032	0.676653932230841	0.489747725559293
"41"	0.99	0.303789975607651	0.327183938008343	0.335210661812063
"42"	0.99	0.496736145959025	0.719843538069061	0.511270573560142
"43"	0.69	0.386900865944926	0.509895860727565	0.411768627759563
"44"	0.69	0.456760130453544	0.685781034442537	0.47744403540459
"45"	0.95	0.355333556355955	0.426014562791648	0.381837521077685
"46"	0.95	0.489747725559293	0.7583007389387	0.508253788381802
"47"	0.99	0.335210661812063	0.373037946160831	0.362653357404236
"48"	0.99	0.511270573560142	0.800583697280453	0.528304943173775
"49"	0.69	0.411768627759563	0.293481586852679	0.406489406658168
"50"	0.69	0.47744403540459	0.470528436379171	0.468360896518788
"51"	0.95	0.381837521077685	0.221919346867684	0.378300487628809
"52"	0.95	0.508253788381802	0.556235702617048	0.497433870202784
"53"	0.99	0.362653357404236	0.180741830529973	0.360224112891191
"54"	0.99	0.528304943173775	0.610700563900643	0.516383253393112
"55"	0.69	0.406489406658168	0.491746280444568	0.423121779982085
"56"	0.69	0.468360896518788	0.666165003571629	0.481861349938142
"57"	0.95	0.378300487628809	0.409667542610812	0.39622540126293
"58"	0.95	0.497433870202784	0.739352457136012	0.509358689808241
"59"	0.99	0.360224112891191	0.358115344016711	0.378922099145653
"60"	0.99	0.516383253393112	0.782520970227167	0.527255845280226
"61"	0.69	0.423121779982085	0.46277453748513	0.432321036725451
"62"	0.69	0.481861349938142	0.664047243037705	0.488984583716574
"63"	0.95	0.39622540126293	0.369803185660713	0.406307167497232
"64"	0.95	0.509358689808241	0.747622148243501	0.51546032093362
"65"	0.99	0.378922099145653	0.312784171628713	0.389542530881137
"66"	0.99	0.527255845280226	0.795933618503227	0.532681551975225
"67"	0.69	0.432321036725451	0.535426314962986	0.446637777992442
"68"	0.69	0.488984583716574	0.717640672570269	0.50114061225101
"69"	0.95	0.406307167497232	0.446636810115705	0.421526205343946
"70"	0.95	0.51546032093362	0.790222438117462	0.526534779029179
"71"	0.99	0.389542530881137	0.390207994785755	0.405306750107419
"72"	0.99	0.532681551975225	0.831488476355278	0.543033720150009
"73"	0.69	0.446637777992442	0.591707913614279	0.458163657486017
"74"	0.69	0.50114061225101	0.804909913385134	0.511423136563547
"75"	0.95	0.421526205343946	0.479978401516352	0.433560513606715
"76"	0.95	0.526534779029179	0.877912799236873	0.536183158407078
"77"	0.99	0.405306750107419	0.408336894173645	0.4176443726681
"78"	0.99	0.543033720150009	0.914573025602862	0.552254486757669
"79"	0.69	0.458163657486017	0.407360422420935	0.460225815519059
"80"	0.69	0.511423136563547	0.592639577579065	0.511546266874213
"81"	0.95	0.433560513606715	0.325314996361457	0.436503559716511
"82"	0.95	0.536183158407078	0.674685003638544	0.535403708854808
