"rn"	"0.69%"	"0.95%"	"0.99%"
"1"	1992	NA	NA	NA
"2"	1992	NA	NA	NA
"3"	1993	0.01001001001001	0.002002002002002	0.001001001001001
"4"	1993	0.0830830830830831	0.149149149149149	0.201201201201201
"5"	1994	0.178178178178178	0.14014014014014	0.118118118118118
"6"	1994	0.277277277277277	0.33033033033033	0.366366366366366
"7"	1995	0.257257257257257	0.219219219219219	0.195195195195195
"8"	1995	0.347347347347347	0.393393393393393	0.422422422422422
"9"	1996	0.315315315315315	0.278278278278278	0.255255255255255
"10"	1996	0.399399399399399	0.441441441441441	0.468468468468468
"11"	1997	0.358358358358358	0.324324324324324	0.302302302302302
"12"	1997	0.435435435435435	0.472472472472472	0.495495495495495
"13"	1998	0.386386386386386	0.354354354354354	0.334334334334334
"14"	1998	0.456456456456456	0.488488488488488	0.510510510510511
"15"	1999	0.411411411411411	0.381381381381381	0.362362362362362
"16"	1999	0.476476476476476	0.507507507507508	0.528528528528528
"17"	2000	0.406406406406406	0.377377377377377	0.359359359359359
"18"	2000	0.468468468468468	0.496496496496497	0.515515515515516
"19"	2001	0.423423423423423	0.396396396396396	0.378378378378378
"20"	2001	0.481481481481481	0.509509509509509	0.526526526526527
"21"	2002	0.432432432432432	0.406406406406406	0.389389389389389
"22"	2002	0.488488488488488	0.515515515515516	0.532532532532533
"23"	2003	0.446446446446446	0.421421421421421	0.405405405405405
"24"	2003	0.500500500500501	0.526526526526527	0.542542542542543
"25"	2004	0.458458458458458	0.433433433433433	0.417417417417417
"26"	2004	0.511511511511512	0.535535535535536	0.551551551551552
"27"	2005	0.46046046046046	0.436436436436436	0.421421421421421
"28"	2005	0.511511511511512	0.535535535535536	0.550550550550551
"29"	2006	0.467467467467467	0.444444444444444	0.429429429429429
"30"	2006	0.517517517517518	0.540540540540541	0.556556556556557
"31"	2007	0.484484484484485	0.462462462462462	0.447447447447447
"32"	2007	0.533533533533533	0.556556556556557	0.571571571571572
"33"	2008	0.483483483483483	0.461461461461461	0.447447447447447
"34"	2008	0.531531531531532	0.553553553553554	0.568568568568569
"35"	2009	0.475475475475475	0.453453453453453	0.439439439439439
"36"	2009	0.521521521521522	0.543543543543544	0.557557557557558
"37"	2010	0.47047047047047	0.448448448448448	0.434434434434434
"38"	2010	0.515515515515516	0.536536536536537	0.550550550550551
"39"	2011	0.475475475475475	0.454454454454454	0.441441441441441
"40"	2011	0.520520520520521	0.541541541541542	0.555555555555556
"41"	2012	0.483483483483483	0.463463463463463	0.449449449449449
"42"	2012	0.527527527527528	0.548548548548549	0.561561561561562
"43"	2013	0.487487487487487	0.467467467467467	0.454454454454454
"44"	2013	0.530530530530531	0.551551551551552	0.564564564564565
"45"	2014	0.479479479479479	0.459459459459459	0.446446446446446
"46"	2014	0.521521521521522	0.541541541541542	0.554554554554555
"47"	2015	0.477477477477477	0.457457457457457	0.445445445445445
"48"	2015	0.519519519519519	0.538538538538539	0.551551551551552
"49"	2016	0.471471471471471	0.451451451451451	0.439439439439439
"50"	2016	0.512512512512513	0.531531531531532	0.544544544544544
"51"	2017	0.474474474474474	0.455455455455455	0.443443443443443
"52"	2017	0.515515515515516	0.534534534534534	0.547547547547548
