"ID"	"si"	"Ni"	"BL (mode)"	"JC (mode)"	"BL (mean)"	"JC (mean)"	"BL (sd)"	"JC (sd)"	"BL (var)"	"JC (var)"
"1"	1992	0	8	0	NA	0.1	0	0.0904534033733291	0	0.00818181818181818	0
"2"	1993	2	31	0.0640640640640641	0.034034034034034	0.0909090909090909	0.0645161290322581	0.0493023767769673	0.0434287484446331	0.00243072435585805	0.00188605619146722
"3"	1994	17	73	0.233233233233233	0.225225225225225	0.24	0.232876712328767	0.0489897948556636	0.0491337321767615	0.0024	0.00241412363761773
"4"	1995	32	105	0.304304304304304	0.301301301301301	0.308411214953271	0.304761904761905	0.0444403196812682	0.0447089208699629	0.00197494201337332	0.00199888760535661
"5"	1996	47	131	0.358358358358358	0.356356356356356	0.360902255639098	0.358778625954198	0.041488338364552	0.0417474843655657	0.00172128222025156	0.00174285245085315
"6"	1997	66	166	0.397397397397397	0.396396396396396	0.398809523809524	0.397590361445783	0.0376656489342103	0.0378709015632944	0.00141870110963518	0.00143420518521673
"7"	1998	86	204	0.421421421421421	0.42042042042042	0.422330097087379	0.42156862745098	0.0343305462623904	0.0344892008407635	0.00117858640667413	0.00118950497463452
"8"	1999	104	234	0.444444444444444	0.444444444444444	0.444915254237288	0.444444444444444	0.0322807875340028	0.0324144425550877	0.00104204924381543	0.00105069608615708
"9"	2000	115	263	0.437437437437437	0.436436436436436	0.437735849056604	0.437262357414449	0.0304183348638958	0.0305296669057209	0.000925275095892098	0.000932060561374271
"10"	2001	133	294	0.452452452452452	0.452452452452452	0.452702702702703	0.452380952380952	0.0288828450749601	0.0289788015042589	0.000834218739624145	0.000839770936623237
"11"	2002	146	317	0.46046046046046	0.46046046046046	0.460815047021944	0.460567823343849	0.027864882662822	0.0279512774341667	0.000776451685812836	0.000781273910201755
"12"	2003	163	344	0.473473473473473	0.473473473473473	0.473988439306358	0.473837209302326	0.0268050598857065	0.0268822180537004	0.000718511235476314	0.000722653647486695
"13"	2004	175	361	0.484484484484485	0.484484484484485	0.484848484848485	0.484764542936288	0.0261950855002293	0.0262672138164618	0.000686182504364322	0.000689966521679723
"14"	2005	189	389	0.485485485485485	0.485485485485485	0.485933503836317	0.48586118251928	0.0252438178775496	0.0253083595108185	0.000637250341034891	0.000640513061128838
"15"	2006	200	406	0.492492492492492	0.492492492492492	0.492647058823529	0.492610837438424	0.024720735298172	0.0247813732992375	0.000611114753682287	0.000614116462596164
"16"	2007	217	426	0.509509509509509	0.509509509509509	0.509345794392523	0.509389671361502	0.0241360101089518	0.0241924289002371	0.000582546983979424	0.000585273616093028
"17"	2008	225	443	0.507507507507508	0.507507507507508	0.507865168539326	0.507900677200903	0.0236727568119113	0.0237259873535408	0.000560399415075892	0.000562922475900376
"18"	2009	234	469	0.498498498498498	0.498498498498498	0.498938428874735	0.498933901918977	0.0230143135760921	0.023063227774823	0.000529658629378699	0.000531912475393365
"19"	2010	241	489	0.492492492492492	0.492492492492492	0.492871690427699	0.492842535787321	0.0225394499324496	0.0225853831504615	0.000508026803257401	0.000510099532053151
"20"	2011	251	504	0.498498498498498	0.498498498498498	0.49802371541502	0.498015873015873	0.0222056061252785	0.0222495327902938	0.000493088943391004	0.000495041709386358
"21"	2012	264	522	0.505505505505506	0.505505505505506	0.505725190839695	0.505747126436782	0.0218203584357906	0.0218620291470797	0.000476128042266379	0.000477948318427762
"22"	2013	275	540	0.509509509509509	0.509509509509509	0.509225092250922	0.509259259259259	0.0214534013698748	0.021492992716063	0.000460248430336947	0.000461948735892735
"23"	2014	282	563	0.500500500500501	0.500500500500501	0.500884955752212	0.50088809946714	0.0210165346673237	0.0210537648155057	0.000441694729422821	0.000443261012906625
"24"	2015	288	578	0.498498498498498	0.498498498498498	0.498275862068966	0.498269896193772	0.0207433720143895	0.0207791664771059	0.000430287482527358	0.000431773759483281
"25"	2016	290	590	0.491491491491491	0.491491491491491	0.491554054054054	0.491525423728814	0.020529609513436	0.0205642973165523	0.000421464866774162	0.00042289032412356
"26"	2017	298	602	0.495495495495495	0.495495495495495	0.495033112582781	0.495016611295681	0.0203268877028662	0.0203605627089702	0.000413182363684933	0.000414552513825907
