"prob"	"prior"	"likelihood"	"post"
"1"	0.69	0.309999984975699	6.3764138474464e-10	6.3764138474464e-10
"2"	0.69	0.999999984975699	0.122019982261623	0.122019982261623
"3"	0.95	0.0499999938132362	7.04912753244586e-10	7.04912753244586e-10
"4"	0.95	0.999999993813236	0.283128845669746	0.283128845669746
"5"	0.99	0.00999999478556585	5.95938391536062e-10	5.95938391536062e-10
"6"	0.99	0.999999994785566	0.400515785406635	0.400515785406635
"7"	0.69	0.309999984975699	0.0288245695529827	0.0288245695529827
"8"	0.69	0.999999984975699	0.119603519199393	0.119603519199393
"9"	0.95	0.0499999938132362	0.0107855162391776	0.0107855162391776
"10"	0.95	0.999999993813236	0.187663241706159	0.187663241706159
"11"	0.99	0.00999999478556585	0.00486177870601281	0.00486177870601281
"12"	0.99	0.999999994785566	0.239366868854024	0.239366868854024
"13"	0.69	0.309999984975699	0.185675736555569	0.185675736555569
"14"	0.69	0.999999984975699	0.285001271455564	0.285001271455564
"15"	0.95	0.0499999938132362	0.146800981539117	0.146800981539117
"16"	0.95	0.999999993813236	0.337084857354842	0.337084857354842
"17"	0.99	0.00999999478556585	0.12425825380514	0.12425825380514
"18"	0.99	0.999999994785566	0.37244335823435	0.37244335823435
"19"	0.69	0.309999984975699	0.26081151560093	0.26081151560093
"20"	0.69	0.999999984975699	0.351226911622603	0.351226911622603
"21"	0.95	0.0499999938132362	0.222659451629517	0.222659451629517
"22"	0.95	0.999999993813236	0.396160815257007	0.396160815257007
"23"	0.99	0.00999999478556585	0.199395684016508	0.199395684016508
"24"	0.99	0.999999994785566	0.426055828426412	0.426055828426412
"25"	0.69	0.309999984975699	0.317276486800737	0.317276486800737
"26"	0.69	0.999999984975699	0.40174262691376	0.40174262691376
"27"	0.95	0.0499999938132362	0.280364789962334	0.280364789962334
"28"	0.95	0.999999993813236	0.442606009069415	0.442606009069415
"29"	0.99	0.00999999478556585	0.257348723916624	0.257348723916624
"30"	0.99	0.999999994785566	0.469499078352768	0.469499078352768
"31"	0.69	0.309999984975699	0.359674386276835	0.359674386276835
"32"	0.69	0.999999984975699	0.43634512749062	0.43634512749062
"33"	0.95	0.0499999938132362	0.325439430308508	0.325439430308508
"34"	0.95	0.999999993813236	0.472851776100032	0.472851776100032
"35"	0.99	0.00999999478556585	0.303789975607651	0.303789975607651
"36"	0.99	0.999999994785566	0.496736145959025	0.496736145959025
"37"	0.69	0.309999984975699	0.386900865944926	0.386900865944926
"38"	0.69	0.999999984975699	0.456760130453544	0.456760130453544
"39"	0.95	0.0499999938132362	0.355333556355955	0.355333556355955
"40"	0.95	0.999999993813236	0.489747725559293	0.489747725559293
"41"	0.99	0.00999999478556585	0.335210661812063	0.335210661812063
"42"	0.99	0.999999994785566	0.511270573560142	0.511270573560142
"43"	0.69	0.309999984975699	0.411768627759563	0.411768627759563
"44"	0.69	0.999999984975699	0.47744403540459	0.47744403540459
"45"	0.95	0.0499999938132362	0.381837521077685	0.381837521077685
"46"	0.95	0.999999993813236	0.508253788381802	0.508253788381802
"47"	0.99	0.00999999478556585	0.362653357404236	0.362653357404236
"48"	0.99	0.999999994785566	0.528304943173775	0.528304943173775
"49"	0.69	0.309999984975699	0.406489406658168	0.406489406658168
"50"	0.69	0.999999984975699	0.468360896518788	0.468360896518788
"51"	0.95	0.0499999938132362	0.378300487628809	0.378300487628809
"52"	0.95	0.999999993813236	0.497433870202784	0.497433870202784
"53"	0.99	0.00999999478556585	0.360224112891191	0.360224112891191
"54"	0.99	0.999999994785566	0.516383253393112	0.516383253393112
"55"	0.69	0.309999984975699	0.423121779982085	0.423121779982085
"56"	0.69	0.999999984975699	0.481861349938142	0.481861349938142
"57"	0.95	0.0499999938132362	0.39622540126293	0.39622540126293
"58"	0.95	0.999999993813236	0.509358689808241	0.509358689808241
"59"	0.99	0.00999999478556585	0.378922099145653	0.378922099145653
"60"	0.99	0.999999994785566	0.527255845280226	0.527255845280226
"61"	0.69	0.309999984975699	0.432321036725451	0.432321036725451
"62"	0.69	0.999999984975699	0.488984583716574	0.488984583716574
"63"	0.95	0.0499999938132362	0.406307167497232	0.406307167497232
"64"	0.95	0.999999993813236	0.51546032093362	0.51546032093362
"65"	0.99	0.00999999478556585	0.389542530881137	0.389542530881137
"66"	0.99	0.999999994785566	0.532681551975225	0.532681551975225
"67"	0.69	0.309999984975699	0.446637777992442	0.446637777992442
"68"	0.69	0.999999984975699	0.50114061225101	0.50114061225101
"69"	0.95	0.0499999938132362	0.421526205343946	0.421526205343946
"70"	0.95	0.999999993813236	0.526534779029179	0.526534779029179
"71"	0.99	0.00999999478556585	0.405306750107419	0.405306750107419
"72"	0.99	0.999999994785566	0.543033720150009	0.543033720150009
"73"	0.69	0.309999984975699	0.458163657486017	0.458163657486017
"74"	0.69	0.999999984975699	0.511423136563547	0.511423136563547
"75"	0.95	0.0499999938132362	0.433560513606715	0.433560513606715
"76"	0.95	0.999999993813236	0.536183158407078	0.536183158407078
"77"	0.99	0.00999999478556585	0.4176443726681	0.4176443726681
"78"	0.99	0.999999994785566	0.552254486757669	0.552254486757669
"79"	0.69	0.309999984975699	0.460225815519059	0.460225815519059
"80"	0.69	0.999999984975699	0.511546266874213	0.511546266874213
"81"	0.95	0.0499999938132362	0.436503559716511	0.436503559716511
